Username,Comment,Comment Date
@tujuanselamet,"Mau ke gmna juga tetep, yang menang mah 02 😂😂😂",2024-03-13T07:01:02Z
@apriadisamsu9390,Mantap 02 gasssssssss ok gasssssssssssssssss,2024-03-13T07:00:03Z
@dembadelik3093,indramayu total no 2 prabowo,2024-03-13T06:59:46Z
@fandyfirmansyah9211,"G ush diperpanjang pk hak angket malah makin ruwet, pls pd legowo! selamat bwt pragib 🎉",2024-03-13T06:38:22Z
@Ygtautauajdah,mana nih anak abah 🤣🤣🤣,2024-03-13T06:31:54Z
@afifuddin3447,Bukan sementara....? Tapi akan tetap unggul PD pilpres..2024...,2024-03-13T06:30:53Z
@noerdianschannel7467,"Metro dan news TV mash ngeyel saja begitupun paslon 1 Dan 3 mash ndak percaya pendukungnyajg,y wes sakarepmu tuh 53%buat ganjar,40%buat anis 7%prabowo..yg pnting president nya prabowo gibran.",2024-03-13T06:30:53Z
@fathanajja1351,"Dr 2019 terus skrang 2024 mungkin sya sudah udah ga percaya KPU,<br>Ngeliat cara KPU banyak yg cacat,jadi membuat pertandingan kompetisi pemilihan bikin ga seru,mungkin klo cri pemimpin dan caleg kaya ujian sekolah mah lebih bagus x ya,",2024-03-13T06:17:02Z
@fandyahmad4897,Yg penting jogetin aja....mau naik atau turun tetep joget...mau makan atau tidak tetep joget aja.....kayak film india ntar semua yg terjadi di nyanyiin .....klo kita di jogetin.....seneng joget ada yg meninggal tetep joget....santai and tenang.....,2024-03-13T06:16:50Z
@GeisGrace,Allhmdulilah...<br>Selamat tinggal METRO TV ATAS selama ini jadi TVnya O1 yg selama ini menjatuhkan Paslon 02..<br>Semoga kedepannya metro tv tak ada peminatnya lagi terlalu banyak berita hoks,2024-03-13T05:57:47Z
@meldaharianja7399,Ko 01 jdi klah dri 03. Kebalik..😅,2024-03-13T05:49:37Z
@adiaye8771,Mau seribu kali diitung tetep aj 02 menang 😂😂,2024-03-13T05:45:05Z
@imanzahra06,❤pak bowo,2024-03-13T05:42:48Z
@mazelcild1484,Hak angket gasss,2024-03-13T05:41:01Z
@MataramMaju-qc1eu,Mudahan Indonesia baik-baik saja dipimpin oleh orang yang sudah mendekati pikun. Amin,2024-03-13T05:40:35Z
@ahmadsopian4203,Gak tega liat 01. 03😅,2024-03-13T05:39:42Z
@mauliddinwaluyo3809,Jawa timur prabowo gibran tok pokok e,2024-03-13T05:39:02Z
@MohHendri-kt3fl,Tv-nya para bajingan 😂😅,2024-03-13T05:25:27Z
@elizaheli7399,Udah gk bisa di kejar coy..TUHAN ADA BRSAMA 02.,2024-03-13T05:24:35Z
@embuhopo2123,Ah palsu. O1 harusnya menang kalau g di curangi😂,2024-03-13T05:23:26Z
@LaOgi-h2w,Unggul penggelembungan 😂,2024-03-13T05:23:10Z
@suryadiusur-kf8pq,Mau di ulang brapa kali pun tetap pak prabowo,2024-03-13T05:16:21Z
@UsinSalebu,Prabowo presiden kita,2024-03-13T05:08:59Z
@ninkianimation,Curang-curang,2024-03-13T05:07:34Z
@QioRLaBadachannel,GAK JUJURNYA JUGA UNGGUL....CURANGNYA UNGGUL....POKOKNYA SEMUANYA SERBA UNGGUL.,2024-03-13T05:02:44Z
@aj38go26,Asik pa prabowo jdi presiden akhirx gaji naik,2024-03-13T05:02:15Z
@uranglemburyt9213,Metro TV baru sadar yah ?,2024-03-13T05:01:40Z
@TegarIreng-e4u,Tiap provinsi ajah menang semua mutlak kubu sebelah teriak curang woyyy yg teriak curang matamu picek apa malu kalah,2024-03-13T04:58:58Z
@HadiArsal,Lombok hadir. Kasihan metro tv sekarang calonya gak menang.,2024-03-13T04:57:00Z
@samlawiersyad3688,Metro tivu tdk mau mengakui kemenangan Prabowo..... 😂😂😂,2024-03-13T04:54:22Z
@jorandan9066,"Penyebab paslon 02 menang telak adalah 01 &amp; 03 bukanlah lawan yg sepadan, beda level🤣🤣🤣.",2024-03-13T04:51:17Z
@Alfinrosidi-dg8xs,anis maksa malah tambah KO suaranya😂😢,2024-03-13T04:43:03Z
@ardisembiring5704,"Untuk apa sementara, sampai ketek saya beruban pun tetap unggul,,, cepat di lantik, biar kita tau, perkembangan indo di bawah ketek prabowo,,, percuma di protes,, keputusan quick count adalah panutan manusia,,, sudahlah,,, biarin aje apa kata mereka😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",2024-03-13T04:31:14Z
@Tehamenmanangkabo06,Tumben metro nggak nge ngunggulin anies😂,2024-03-13T04:28:20Z
@curugputricarita,Kalau kalah 02..rugi bandar😂😂😂😂,2024-03-13T04:26:51Z
@DeliaPutri-pd4mz,"Jangan an 58%<br>5,1% aja udah menang 1 putaran😂😅",2024-03-13T04:22:50Z
@yowesae1341,Okeee gaassss okeee gassss gasss teroooosssss aamiin😂😂,2024-03-13T04:18:58Z
@kisah_fiksi,"Ya, kita sudah tau kok, bahkan sebelum hari pencoblosan suara 02 sudah melambung di atas 50%.",2024-03-13T04:17:22Z
@JajakaTerbaru,Ya pasti menang telaj wong semua aparatir pemerintah daerah diintimifasi sama pa lurah juga warga diintmidasi ngga dapat bansos liat aja tuch kampanye mentri mentri pa lurah bansos milik jokowi ..makanya mikor pendukung 02 dari situ aja udah terlihat menitimidasi warga bro ..pendukung 03 ngga bisa mikir dan logikanya dipake,2024-03-13T04:12:58Z
